antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'High_Temp', 'Severity_3', 'Medium_Wind'})",frozenset({'Medium_Visibility'}),0.182,1.0,0.182,1.0,1.0,1.0,0.0,inf,0.0,0.182,0.0,0.591
"frozenset({'High_Temp', 'Severity_3'})","frozenset({'Medium_Visibility', 'Medium_Wind'})",0.264,0.518,0.182,0.6893939393939393,1.3308763308763307,1.0,0.04524799999999998,1.55180487804878,0.3377926421404681,0.3033333333333333,0.3555890858795422,0.5203726453726454
"frozenset({'Severity_3', 'Medium_Wind'})","frozenset({'Medium_Visibility', 'High_Temp'})",0.218,0.64,0.182,0.8348623853211009,1.3044724770642202,1.0,0.04247999999999999,2.1799999999999997,0.29847390461201195,0.2692307692307693,0.5412844036697247,0.5596186926605504
"frozenset({'Medium_Visibility', 'Severity_2', 'High_Wind'})",frozenset({'Medium_Temp'}),0.108,0.348,0.078,0.7222222222222222,2.075351213282248,1.0,0.040416,2.3472,0.5808899620558814,0.20634920634920637,0.5739604635310157,0.4731800766283525
"frozenset({'Medium_Visibility', 'High_Wind', 'Medium_Temp'})",frozenset({'Severity_2'}),0.106,0.616,0.078,0.7358490566037736,1.1945601568243078,1.0,0.012704000000000007,1.453714285714286,0.1821832157402628,0.12111801242236024,0.3121069182389939,0.43123621661357514
"frozenset({'Severity_2', 'High_Wind', 'Medium_Temp'})",frozenset({'Medium_Visibility'}),0.078,1.0,0.078,1.0,1.0,1.0,0.0,inf,0.0,0.078,0.0,0.539
"frozenset({'Medium_Visibility', 'High_Wind'})","frozenset({'Severity_2', 'Medium_Temp'})",0.14,0.228,0.078,0.557142857142857,2.4436090225563905,1.0,0.046079999999999996,1.7432258064516126,0.6869409660107334,0.26896551724137935,0.42635085122131744,0.4496240601503759
"frozenset({'Severity_2', 'High_Wind'})","frozenset({'Medium_Visibility', 'Medium_Temp'})",0.108,0.348,0.078,0.7222222222222222,2.075351213282248,1.0,0.040416,2.3472,0.5808899620558814,0.20634920634920637,0.5739604635310157,0.4731800766283525
"frozenset({'High_Wind', 'Medium_Temp'})","frozenset({'Medium_Visibility', 'Severity_2'})",0.106,0.616,0.078,0.7358490566037736,1.1945601568243078,1.0,0.012704000000000007,1.453714285714286,0.1821832157402628,0.12111801242236024,0.3121069182389939,0.43123621661357514
frozenset({'High_Wind'}),"frozenset({'Medium_Visibility', 'Severity_2', 'Medium_Temp'})",0.14,0.228,0.078,0.557142857142857,2.4436090225563905,1.0,0.046079999999999996,1.7432258064516126,0.6869409660107334,0.26896551724137935,0.42635085122131744,0.4496240601503759
"frozenset({'Medium_Visibility', 'Medium_Temp', 'Low_Wind'})",frozenset({'Severity_2'}),0.124,0.616,0.068,0.5483870967741936,0.8902387934646,1.0,-0.008383999999999989,0.8502857142857144,-0.12338121026607,0.1011904761904762,-0.1760752688172041,0.329388353581902
"frozenset({'Severity_2', 'Low_Wind', 'Medium_Temp'})",frozenset({'Medium_Visibility'}),0.068,1.0,0.068,1.0,1.0,1.0,0.0,inf,0.0,0.068,0.0,0.534
"frozenset({'Medium_Temp', 'Low_Wind'})","frozenset({'Medium_Visibility', 'Severity_2'})",0.124,0.616,0.068,0.5483870967741936,0.8902387934646,1.0,-0.008383999999999989,0.8502857142857144,-0.12338121026607,0.1011904761904762,-0.1760752688172041,0.329388353581902
"frozenset({'Medium_Temp', 'Low_Wind', 'Severity_3'})",frozenset({'Medium_Visibility'}),0.054,1.0,0.054,1.0,1.0,1.0,0.0,inf,0.0,0.054,0.0,0.527
"frozenset({'Medium_Visibility', 'Medium_Temp', 'Medium_Wind'})",frozenset({'Severity_2'}),0.118,0.616,0.082,0.6949152542372882,1.1281091789566366,1.0,0.009312000000000015,1.2586666666666668,0.1287539406006307,0.12576687116564417,0.2055084745762713,0.4140160686770856
"frozenset({'Severity_2', 'Medium_Temp', 'Medium_Wind'})",frozenset({'Medium_Visibility'}),0.082,1.0,0.082,1.0,1.0,1.0,0.0,inf,0.0,0.082,0.0,0.541
"frozenset({'Medium_Temp', 'Medium_Wind'})","frozenset({'Medium_Visibility', 'Severity_2'})",0.118,0.616,0.082,0.6949152542372882,1.1281091789566366,1.0,0.009312000000000015,1.2586666666666668,0.1287539406006307,0.12576687116564417,0.2055084745762713,0.4140160686770856
"frozenset({'Clear', 'Medium_Visibility', 'High_Temp', 'Low_Wind'})",frozenset({'Severity_2'}),0.118,0.616,0.068,0.576271186440678,0.9355051727933085,1.0,-0.004687999999999984,0.90624,-0.07249783496226624,0.10210210210210212,-0.10346045197740106,0.3433303984151442
"frozenset({'Clear', 'Severity_2', 'Low_Wind', 'High_Temp'})",frozenset({'Medium_Visibility'}),0.068,1.0,0.068,1.0,1.0,1.0,0.0,inf,0.0,0.068,0.0,0.534
"frozenset({'Clear', 'Severity_2', 'Medium_Visibility', 'Low_Wind'})",frozenset({'High_Temp'}),0.124,0.64,0.068,0.5483870967741936,0.8568548387096775,1.0,-0.011359999999999995,0.7971428571428573,-0.16016241822693428,0.09770114942528738,-0.2544802867383511,0.32731854838709684
"frozenset({'Medium_Visibility', 'Severity_2', 'Low_Wind', 'High_Temp'})",frozenset({'Clear'}),0.128,0.606,0.068,0.53125,0.8766501650165017,1.0,-0.009567999999999993,0.8405333333333334,-0.13894052044609653,0.10210210210210212,-0.18972081218274106,0.3217306105610561
"frozenset({'Clear', 'Low_Wind', 'High_Temp'})","frozenset({'Medium_Visibility', 'Severity_2'})",0.118,0.616,0.068,0.576271186440678,0.9355051727933085,1.0,-0.004687999999999984,0.90624,-0.07249783496226624,0.10210210210210212,-0.10346045197740106,0.3433303984151442
"frozenset({'Clear', 'Severity_2', 'Low_Wind'})","frozenset({'Medium_Visibility', 'High_Temp'})",0.124,0.64,0.068,0.5483870967741936,0.8568548387096775,1.0,-0.011359999999999995,0.7971428571428573,-0.16016241822693428,0.09770114942528738,-0.2544802867383511,0.32731854838709684
