lat,lon,weather_main,weather_desc,temp_f,humidity,visibility,wind_speed,rain_1h
38.29512,-122.252808,Clear,clear sky,59.7,76,10000,6.91,0
34.018009,-118.052849,Clear,clear sky,66.49,36,10000,3.44,0
38.526783,-121.952782,Clear,clear sky,58.71,74,10000,6.91,0
34.124657,-118.079361,Clouds,overcast clouds,66.63,33,10000,1.7,0
36.493896,-121.427475,Clouds,overcast clouds,62.33,77,10000,7.2,0
38.769897,-121.24855,Clear,clear sky,57.54,78,10000,11.5,0
38.429111,-121.425125,Clear,clear sky,58.41,78,10000,12.66,0
38.63332,-121.328156,Clear,clear sky,58.33,76,10000,12.66,0
37.980579,-122.296936,Clouds,scattered clouds,60.08,71,10000,1.45,0
37.507153,-122.338486,Clear,clear sky,57.74,75,10000,9.22,0
37.651726,-122.390129,Clouds,scattered clouds,59.41,76,10000,9.22,0
38.757442,-120.593201,Clear,clear sky,48.33,76,10000,1.99,0
37.932495,-122.403526,Clouds,scattered clouds,60.4,74,10000,1.81,0
38.945255,-121.046089,Clear,clear sky,53.51,81,10000,4.61,0
36.666584,-121.62825,Clouds,overcast clouds,59.86,81,10000,5.5,0
37.979328,-122.043022,Clear,clear sky,59.67,71,10000,5.01,0
37.731361,-122.423836,Clouds,scattered clouds,59.02,75,10000,8.05,0
37.753368,-121.352516,Clear,clear sky,58.03,83,10000,9.22,0
37.709412,-122.470924,Clouds,scattered clouds,58.33,77,10000,7,0
37.670162,-122.392151,Clouds,scattered clouds,59.38,76,10000,9.22,0
37.022938,-122.037102,Clouds,overcast clouds,59.59,75,10000,5.99,0
38.606785,-121.431801,Clear,clear sky,58.37,76,10000,12.66,0
37.763535,-121.418747,Clear,clear sky,57.97,82,10000,4.61,0
33.982792,-118.395348,Smoke,smoke,63.36,58,10000,6.91,0
37.719204,-121.6604,Clear,clear sky,54.86,78,10000,4.61,0
37.259937,-121.968719,Clouds,scattered clouds,59.7,70,10000,9.22,0
37.960415,-121.250298,Clear,clear sky,58.17,82,10000,9.22,0
38.201214,-120.692749,Clear,clear sky,58.32,71,10000,17.27,0
38.222542,-121.428131,Clear,clear sky,58.17,80,10000,9.48,0
32.72541,-117.074028,Clouds,broken clouds,63.01,52,10000,5.75,0
38.560219,-121.466492,Clear,clear sky,58.26,77,10000,12.66,0
39.072006,-121.549225,Clear,clear sky,57.97,75,10000,11.5,0
38.652668,-121.070602,Clouds,overcast clouds,56.17,80,10000,4,0
37.695385,-122.073692,Clear,clear sky,60.28,69,10000,8.05,0
37.509178,-122.341911,Clear,clear sky,57.74,75,10000,9.22,0
37.79324,-122.469521,Clouds,scattered clouds,59.11,76,10000,7,0
37.752502,-122.403008,Clouds,scattered clouds,59.23,75,10000,8.05,0
38.15519,-121.676437,Clouds,scattered clouds,59.49,75,10000,9.04,0
37.842594,-122.2976,Clouds,scattered clouds,60.3,73,10000,8.05,0
38.008995,-122.029991,Clear,clear sky,59.05,73,10000,5.01,0
37.740681,-121.504189,Clear,clear sky,57.81,81,10000,4.61,0
38.608906,-121.270538,Clear,clear sky,58.59,76,10000,10.36,0
38.320869,-121.444565,Clouds,few clouds,58.28,80,10000,9.57,0
37.71928,-122.176796,Clouds,scattered clouds,60.06,72,10000,8.05,0
37.837833,-122.264168,Clouds,scattered clouds,59.88,73,10000,8.05,0
38.241276,-122.269112,Clear,clear sky,59.85,75,10000,6.91,0
38.761417,-120.575806,Clear,clear sky,47.64,76,10000,1.99,0
36.974895,-121.897293,Clouds,overcast clouds,61.9,72,10000,1.99,0
37.333534,-121.937454,Clouds,scattered clouds,60.4,69,10000,9.22,0
37.966309,-122.322304,Clouds,scattered clouds,60.22,71,10000,1.41,0
37.891716,-121.487747,Clear,clear sky,58.05,83,10000,4.61,0
38.429401,-122.71476,Clear,clear sky,60.51,71,10000,4.61,0
37.701103,-122.021164,Clear,clear sky,59.23,69,10000,8.05,0
38.325027,-121.327293,Clouds,scattered clouds,58.3,79,10000,9.24,0
34.000702,-117.844833,Clear,clear sky,66.13,37,10000,3.44,0
38.564911,-121.490952,Clear,clear sky,58.24,76,10000,12.66,0
36.776188,-121.669502,Clear,clear sky,62.19,67,10000,10.36,0
37.701576,-121.872177,Clear,clear sky,58.91,71,10000,4.61,0
36.832226,-121.694489,Clear,clear sky,62.92,55,10000,0,0
34.083096,-118.227676,Clouds,broken clouds,64.42,41,10000,2.17,0
38.629658,-121.404053,Clear,clear sky,58.41,76,10000,12.66,0
38.610432,-121.379333,Clear,clear sky,58.51,76,10000,12.66,0
38.66909,-121.355118,Clear,clear sky,58.23,76,10000,10.36,0
37.626137,-120.985962,Clear,clear sky,58.57,82,10000,16.11,0
37.66254,-122.386086,Clouds,scattered clouds,59.05,77,10000,8.05,0
37.523506,-122.266846,Clear,clear sky,59.5,74,10000,8.05,0
37.037411,-121.55809,Clear,clear sky,60.76,68,10000,9.22,0
37.926517,-122.059998,Clear,clear sky,59.16,72,10000,0,0
37.421124,-122.092476,Clear,clear sky,60.12,73,10000,8.05,0
37.2495,-121.959633,Clouds,scattered clouds,59.67,70,10000,9.22,0
37.41095,-122.075134,Clear,clear sky,60.3,72,10000,8.05,0
38.671204,-121.548538,Clouds,few clouds,58.03,77,10000,12.66,0
34.063168,-117.396423,Clear,clear sky,67.53,25,10000,11.5,0
34.235107,-118.412354,Clouds,overcast clouds,66.31,30,10000,11.01,0
37.963177,-122.373672,Clouds,scattered clouds,60.51,73,10000,1.39,0
37.735058,-122.407143,Clouds,scattered clouds,59.4,75,10000,8.05,0
37.470577,-121.908745,Clouds,scattered clouds,60.46,70,10000,9.22,0
34.013268,-118.488762,Smoke,smoke,64.49,48,10000,6.91,0
37.719368,-121.476654,Clear,clear sky,57.85,81,10000,4.61,0
37.688061,-122.139061,Clouds,scattered clouds,60.37,72,10000,8.05,0
37.701668,-121.769699,Clear,clear sky,57.56,73,10000,4.61,0
37.714737,-121.710014,Clear,clear sky,56.86,77,10000,4.61,0
38.536781,-120.697395,Clear,clear sky,53.76,87,10000,9.22,0
38.566296,-121.348869,Clear,clear sky,58.51,76,10000,12.66,0
37.711315,-122.167976,Clouds,scattered clouds,60.24,72,10000,8.05,0
37.443542,-122.117233,Clear,clear sky,59.99,73,10000,8.05,0
37.807072,-122.475616,Clouds,scattered clouds,59.31,76,10000,7,0
37.720112,-121.658638,Clear,clear sky,54.86,78,10000,4.61,0
37.250729,-121.910713,Clouds,scattered clouds,59.97,69,10000,9.22,0
38.304993,-122.49337,Clear,clear sky,60.21,71,10000,9.22,0
37.339985,-121.852127,Clouds,scattered clouds,60.78,68,10000,9.22,0
38.596024,-121.401497,Clear,clear sky,58.44,76,10000,12.66,0
38.553787,-121.473694,Clear,clear sky,58.26,77,10000,12.66,0
37.739689,-121.121376,Clear,clear sky,58.51,85,10000,16.11,0
33.90641,-117.456863,Clear,clear sky,67.75,29,10000,11.5,0
39.526264,-121.481194,Clear,clear sky,56.23,69,10000,6.91,0
37.851349,-122.028984,Clear,clear sky,58.57,72,10000,0,0
38.682598,-121.337006,Clear,clear sky,58.15,76,10000,10.36,0
37.789341,-122.25428,Clouds,scattered clouds,60.42,73,10000,8.05,0
38.543362,-121.731667,Clear,clear sky,58.21,76,10000,6.91,0
38.179379,-122.132286,Clear,clear sky,59.32,75,10000,6.91,0
38.495682,-121.506065,Clear,clear sky,58.12,77,10000,12.66,0
37.881908,-122.308258,Clouds,scattered clouds,60.31,73,10000,8.05,0
36.98407,-121.989571,Clouds,overcast clouds,61.88,73,10000,5.99,0
38.639969,-121.27198,Clear,clear sky,58.37,76,10000,10.36,0
38.553635,-121.473969,Clear,clear sky,58.26,77,10000,12.66,0
37.462418,-122.144402,Clear,clear sky,59.74,74,10000,8.05,0
38.243767,-121.514366,Clouds,few clouds,58.28,76,10000,9.71,0
38.115948,-121.395081,Clear,clear sky,58.03,76,10000,1.99,0
37.509838,-122.488075,Clear,clear sky,58.64,79,10000,8.05,0
34.42062,-119.829926,Clear,clear sky,65.61,54,10000,4.61,0
37.729214,-122.138474,Clouds,scattered clouds,59.74,72,10000,8.05,0
37.902233,-122.511177,Clouds,few clouds,59.38,77,10000,4.99,0
38.502483,-122.995354,Clear,clear sky,57.81,76,10000,4.61,0
37.874702,-121.278,Clear,clear sky,58.1,86,10000,9.22,0
37.826954,-122.286156,Clouds,scattered clouds,60.13,73,10000,8.05,0
38.472912,-121.823708,Clear,clear sky,58.87,75,10000,6.91,0
38.697601,-121.363686,Clear,clear sky,58.1,76,10000,10.36,0
37.728951,-122.186005,Clouds,scattered clouds,60.04,72,10000,8.05,0
38.638889,-121.327972,Clear,clear sky,58.44,76,10000,10.36,0
33.888226,-117.552567,Clear,clear sky,67.42,33,10000,11.5,0
38.00058,-122.282661,Clear,clear sky,59.74,70,10000,1.99,0
38.6609,-121.359138,Clear,clear sky,58.03,77,10000,10.36,0
38.41526,-122.723549,Clear,clear sky,60.31,71,10000,4.61,0
38.109577,-122.229515,Clear,clear sky,59.9,72,10000,6.91,0
37.696068,-122.105057,Clouds,scattered clouds,59.85,72,10000,8.05,0
38.583015,-121.50322,Clear,clear sky,58.59,76,10000,12.66,0
37.36079,-121.817703,Clouds,scattered clouds,60.33,68,10000,9.22,0
37.779995,-122.238327,Clouds,scattered clouds,60.33,73,10000,8.05,0
38.240044,-122.091743,Clear,clear sky,59.41,74,10000,6.91,0
37.781219,-122.472435,Clouds,scattered clouds,58.95,76,10000,7,0
38.558956,-122.820183,Clear,clear sky,59.74,72,10000,4.61,0
37.769375,-122.405533,Clouds,scattered clouds,59.7,75,10000,8.05,0
37.825729,-122.304802,Clouds,scattered clouds,60.13,73,10000,8.05,0
36.903858,-121.63916,Clouds,overcast clouds,61.25,66,10000,2.28,0
33.956966,-118.23967,Smoke,smoke,63.81,53,10000,6.91,0
37.99765,-122.534866,Clear,clear sky,59.83,78,10000,3,0
38.762104,-121.255852,Clear,clear sky,57.58,78,10000,7,0
38.003258,-121.836006,Clear,clear sky,58.51,73,10000,0,0
37.4664,-121.905403,Clouds,scattered clouds,60.46,70,10000,9.22,0
38.273472,-122.671951,Clear,clear sky,59.99,69,10000,9.22,0
37.710388,-122.08419,Clouds,scattered clouds,59.22,72,10000,8.05,0
37.429478,-121.918472,Clouds,scattered clouds,60.98,70,10000,9.22,0
37.317062,-121.94059,Clouds,scattered clouds,60.19,69,10000,9.22,0
37.956959,-122.053314,Clear,clear sky,59.32,72,10000,5.01,0
38.299835,-122.034073,Clear,clear sky,59.25,74,10000,6.91,0
38.635269,-121.388641,Clear,clear sky,58.12,77,10000,12.66,0
38.896008,-121.080376,Clear,clear sky,54.16,81,10000,3.44,0
37.013462,-121.650299,Clear,clear sky,60.4,68,10000,9.22,0
37.877804,-122.18261,Clear,clear sky,58.01,72,10000,8.05,0
37.403236,-122.046913,Clear,clear sky,60.51,72,10000,8.05,0
33.664024,-117.385086,Clouds,overcast clouds,64.47,34,10000,4.05,0
39.279392,-121.098976,Clear,clear sky,52.84,82,10000,0,0
