Start_Lat,Start_Lng,Start_Time,Severity,lat,lon,weather_main,weather_desc,temp_f,humidity,visibility,wind_speed,rain_1h
33.203228,-117.383598,2016-07-05 16:57:16,2,33.203228,-117.383598,Clear,clear sky,61.74,72,10000,3.44,0
36.859879,-121.604027,2017-01-06 19:44:58,2,36.859879,-121.604027,Clear,clear sky,60.35,66,10000,12.66,0
38.610462,-121.38296499999998,2016-05-04 19:09:39,2,38.610462,-121.38296499999998,Clear,clear sky,58.51,76,10000,12.66,0
37.779552,-121.314514,2016-12-22 21:32:28,2,37.779552,-121.314514,Clear,clear sky,58.1,83,10000,9.22,0
38.517776,-122.488297,2016-11-28 14:37:54,2,38.517776,-122.488297,Clouds,few clouds,59.83,73,10000,1.39,0
37.301517,-121.876823,2016-05-17 05:35:28,2,37.301517,-121.876823,Clouds,scattered clouds,60.49,68,10000,9.22,0
39.233021,-121.038948,2016-03-25 16:36:04,2,39.233021,-121.038948,Clouds,broken clouds,50.2,82,10000,1.77,0
38.660831,-121.337288,2016-07-06 18:19:16,2,38.660831,-121.337288,Clear,clear sky,58.66,76,10000,10.36,0
33.958836,-117.30957,2016-07-05 21:41:04,3,33.958836,-117.30957,Clear,clear sky,65.93,27,10000,11.5,0
38.642567,-121.35717,2016-04-17 16:48:44,2,38.642567,-121.35717,Clear,clear sky,58.5,76,10000,12.66,0
38.119484,-122.713844,2016-11-24 15:14:35,2,38.119484,-122.713844,Clear,clear sky,58.46,70,10000,9.22,0
37.535507,-122.075211,2016-04-22 19:06:08,2,37.535507,-122.075211,Clear,clear sky,60.1,72,10000,8.05,0
37.851658,-121.282875,2016-07-08 18:44:29,3,37.851658,-121.282875,Clear,clear sky,58.21,85,10000,9.22,0
37.700951,-121.80175,2017-01-06 03:13:07,3,37.700951,-121.80175,Clear,clear sky,58.19,72,10000,4.61,0
37.932465,-122.403297,2016-08-11 12:08:13,3,37.932465,-122.403297,Clouds,scattered clouds,60.4,74,10000,1.81,0
38.63718400000001,-121.38298,2016-06-12 16:39:25,2,38.63718400000001,-121.38298,Clear,clear sky,58.48,76,10000,12.66,0
37.35117,-120.623901,2016-12-14 12:06:26,2,37.35117,-120.623901,Clear,clear sky,59.07,78,10000,10.36,0
37.38237,-121.904358,2016-05-02 13:26:52,3,37.38237,-121.904358,Clouds,scattered clouds,60.82,69,10000,9.22,0
33.974655,-118.280991,2016-07-07 05:52:53,3,33.974655,-118.280991,Smoke,smoke,63.79,53,10000,6.91,0
37.470013,-121.908699,2016-08-06 07:49:43,3,37.470013,-121.908699,Clouds,scattered clouds,60.46,70,10000,9.22,0
38.270065,-122.331276,2016-08-06 19:47:13,2,38.270065,-122.331276,Clear,clear sky,60.26,74,10000,6.91,0
37.75148400000001,-121.470055,2016-05-19 09:37:42,3,37.75148400000001,-121.470055,Clear,clear sky,58.35,81,10000,4.61,0
37.363445,-121.897217,2017-01-23 21:21:22,2,37.363445,-121.897217,Clouds,scattered clouds,60.84,69,10000,9.22,0
34.018009,-118.052849,2016-06-22 15:01:38,3,34.018009,-118.052849,Clear,clear sky,66.49,36,10000,3.44,0
34.010056,-117.823219,2016-06-23 13:11:42,2,34.010056,-117.823219,Clear,clear sky,65.84,37,10000,3.44,0
37.507488,-121.967377,2016-12-17 15:21:33,3,37.507488,-121.967377,Clear,clear sky,60.69,71,10000,8.05,0
38.58131,-121.463463,2016-11-22 15:32:04,3,38.58131,-121.463463,Clear,clear sky,58.32,77,10000,12.66,0
